"","Age","Ethnicity"
"775",62,"Chinese"
"776",48,"Asian Indian"
"777",36,"Chinese"
"778",30,"Asian Indian"
"779",42,"Filipino"
"780",49,"Vietnamese"
"781",30,"Korean"
"782",20,"Chinese"
"783",51,"Vietnamese"
"784",68,"Asian Indian"
"785",60,"Chinese"
"786",46,"Vietnamese"
"787",41,"Chinese"
"788",40,"Asian Indian"
"789",57,"Chinese"
"790",37,"Asian Indian"
"791",18,"Vietnamese"
"792",58,"Korean"
"793",21,"Filipino"
"794",35,"Asian Indian"
"795",49,"Chinese"
"796",53,"Chinese"
"797",19,"Chinese"
"798",66,"Korean"
"799",29,"Asian Indian"
"800",19,"Filipino"
"801",65,"Chinese"
"802",24,"Vietnamese"
"803",19,"Vietnamese"
"804",50,"Filipino"
"805",61,"Chinese"
"806",49,"Vietnamese"
"807",34,"Korean"
"808",56,"Asian Indian"
"809",40,"Vietnamese"
"810",82,"Vietnamese"
"811",35,"Asian Indian"
"812",43,"Chinese"
"813",18,"Chinese"
"814",34,"Asian Indian"
"815",37,"Korean"
"816",86,"Chinese"
"817",26,"Vietnamese"
"818",56,"Vietnamese"
"819",70,"Vietnamese"
"820",68,"Korean"
"821",38,"Asian Indian"
"822",35,"Korean"
"823",58,"Filipino"
"824",38,"Filipino"
"825",19,"Vietnamese"
"826",30,"Asian Indian"
"827",50,"Chinese"
"828",23,"Korean"
"829",65,"Vietnamese"
"830",63,"Chinese"
"831",25,"Chinese"
"832",21,"Filipino"
"833",40,"Asian Indian"
"834",27,"Korean"
"835",37,"Asian Indian"
"836",22,"Chinese"
"837",74,"Chinese"
"838",35,"Chinese"
"839",23,"Korean"
"840",23,"Vietnamese"
"841",44,"Vietnamese"
"842",22,"Korean"
"843",25,"Vietnamese"
"844",45,"Korean"
"845",23,"Chinese"
"846",48,"Korean"
"847",75,"Asian Indian"
"848",43,"Korean"
"849",41,"Vietnamese"
"850",54,"Korean"
"851",22,"Filipino"
"852",29,"Chinese"
"853",56,"Filipino"
"854",40,"Asian Indian"
"855",40,"Asian Indian"
"856",53,"Korean"
"857",76,"Chinese"
"858",25,"Vietnamese"
"859",27,"Chinese"
"860",77,"Asian Indian"
"861",65,"Vietnamese"
"862",23,"Chinese"
"863",26,"Asian Indian"
"864",21,"Filipino"
"865",18,"Chinese"
"866",76,"Korean"
"867",47,"Korean"
"868",67,"Vietnamese"
"869",20,"Vietnamese"
"870",30,"Asian Indian"
"871",23,"Korean"
"872",34,"Filipino"
"873",47,"Chinese"
"874",25,"Chinese"
"875",32,"Asian Indian"
"876",72,"Korean"
"877",38,"Vietnamese"
"878",31,"Asian Indian"
"879",64,"Vietnamese"
"880",43,"Korean"
"881",55,"Vietnamese"
"882",43,"Korean"
"883",32,"Chinese"
